what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1323697549336
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1323697564254
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1323697565555
activated,editor,com.orangevolt.eclipse.xslt,1.0.7,"com.orangevolt.xslt.editor.XMLEditor",1323697567122
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1323697570822
activated,editor,org.eclipse.wst.xsl.ui,1.1.1.v201009091745,"org.eclipse.wst.xsl.ui.XSLEditor",1323697571917
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1323697575539
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1323697578422
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1323697581178
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1323697583554
activated,editor,com.orangevolt.eclipse.xslt,1.0.7,"com.orangevolt.xslt.editor.XMLEditor",1323697584551
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1323697627078
opened,editor,com.orangevolt.eclipse.xslt,1.0.7,"com.orangevolt.xslt.editor.XMLEditor",1323697630045
activated,editor,com.orangevolt.eclipse.xslt,1.0.7,"com.orangevolt.xslt.editor.XMLEditor",1323697630136
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1323697630233
activated,editor,com.orangevolt.eclipse.xslt,1.0.7,"com.orangevolt.xslt.editor.XMLEditor",1323697632843
activated,editor,com.orangevolt.eclipse.xslt,1.0.7,"com.orangevolt.xslt.editor.XMLEditor",1323697632997
closed,editor,com.orangevolt.eclipse.xslt,1.0.7,"com.orangevolt.xslt.editor.XMLEditor",1323697633007
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323697634643
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323697803109
activated,editor,org.eclipse.wst.xsl.ui,1.1.1.v201009091745,"org.eclipse.wst.xsl.ui.XSLEditor",1323697820040
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1323697824669
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1323697844002
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1323697883178
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323697922599
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323698045442
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1323698048148
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1323698096434
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1323698098097
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1323698144430
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1323698150669
activated,editor,com.orangevolt.eclipse.xslt,1.0.7,"com.orangevolt.xslt.editor.XMLEditor",1323698153950
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323698182249
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1323698182290
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323698189616
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1323698199266
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1323698203279
activated,editor,org.eclipse.wst.xsl.ui,1.1.1.v201009091745,"org.eclipse.wst.xsl.ui.XSLEditor",1323698204392
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1323698212983
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1323698236052
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1323698239330
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1323698257924
activated,editor,com.orangevolt.eclipse.xslt,1.0.7,"com.orangevolt.xslt.editor.XMLEditor",1323698271154
activated,editor,org.eclipse.wst.xsl.ui,1.1.1.v201009091745,"org.eclipse.wst.xsl.ui.XSLEditor",1323698277596
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323698302091
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323698319893
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1323698322450
activated,editor,com.orangevolt.eclipse.xslt,1.0.7,"com.orangevolt.xslt.editor.XMLEditor",1323698342646
activated,editor,org.eclipse.wst.xsl.ui,1.1.1.v201009091745,"org.eclipse.wst.xsl.ui.XSLEditor",1323698353676
activated,editor,com.orangevolt.eclipse.xslt,1.0.7,"com.orangevolt.xslt.editor.XMLEditor",1323698373740
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1323698391538
activated,editor,org.eclipse.wst.xsl.ui,1.1.1.v201009091745,"org.eclipse.wst.xsl.ui.XSLEditor",1323698393902
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1323698398487
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323698414923
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323698511268
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1323698524491
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1323698602971
activated,editor,com.orangevolt.eclipse.xslt,1.0.7,"com.orangevolt.xslt.editor.XMLEditor",1323698623263
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1323698632861
activated,editor,org.eclipse.wst.xsl.ui,1.1.1.v201009091745,"org.eclipse.wst.xsl.ui.XSLEditor",1323698633866
activated,editor,com.orangevolt.eclipse.xslt,1.0.7,"com.orangevolt.xslt.editor.XMLEditor",1323698635001
activated,editor,org.eclipse.wst.xsl.ui,1.1.1.v201009091745,"org.eclipse.wst.xsl.ui.XSLEditor",1323698636194
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1323698640144
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1323698642655
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1323698657777
opened,editor,com.orangevolt.eclipse.xslt,1.0.7,"com.orangevolt.xslt.editor.XMLEditor",1323698661855
