what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.wst.xsl.ui,1.1.1.v201009091745,"org.eclipse.wst.xsl.ui.XSLEditor",1323873645146
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323873737496
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323873929191
activated,editor,com.orangevolt.eclipse.xslt,1.0.7,"com.orangevolt.xslt.editor.XMLEditor",1323873929412
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1323873975119
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323873981080
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323874016188
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323874183548
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323874296954
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1323874299644
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323874302096
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323874318622
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323874337396
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323874348278
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1323874359272
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323874359955
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323874385385
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323874487363
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323874942652
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1323874946564
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323874947275
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323874982288
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323874983984
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323875070491
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323875079441
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323875108945
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323875110259
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324040575512
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324040577264
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324040578380
started,bundle,org.eclipse.wst.jsdt.debug.core,1.0.4.v201103310001,"org.eclipse.wst.jsdt.debug.core",1324040578406
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324040578721
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1324040579228
